mth,recipient,n_zero
2025-07,0x770eb837cf3106a13b17f4197b6a404ad958b711,13
2025-08,0xfaa71492397cb83a407f0b056843297ae5e8ae3c,6
2025-09,0xbfe02fc2508fd2c1dd60253efc9624977e425d8e,9
2025-09,0x7c255279c098fdf6c3116d2becd9978002c09f4b,34
2025-09,0x0f7ae28de1c8532170ad4ee566b5801485c13a0e,6
2025-10,0x000000000060f6e853447881951574cdd0663530,48
2025-10,0xc5e1d707e11fe59cc10106a699dcb7e25b63ddf0,6
2025-10,0x7c255279c098fdf6c3116d2becd9978002c09f4b,25
2025-11,0x000000000060f6e853447881951574cdd0663530,259
2025-11,0xb58bb9643884abbbad64fa7ebc874c5481e5c032,44
2025-11,0x7c255279c098fdf6c3116d2becd9978002c09f4b,72
2025-12,0x000000000060f6e853447881951574cdd0663530,569
2025-12,0xb58bb9643884abbbad64fa7ebc874c5481e5c032,13
2025-12,0x7c255279c098fdf6c3116d2becd9978002c09f4b,170
2026-01,0x000000000060f6e853447881951574cdd0663530,426
2026-01,0x2022a5600f854cc3218e636239f4dfce9e5357b5,68
2026-02,0x000000000060f6e853447881951574cdd0663530,425
2026-02,0x133243d447026345c2b368d7ffe435dbe3c566eb,52
2026-02,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,1051
2026-02,0x179ad206b68b983b9788cbf3ea40f5995d089bca,136
2026-02,0x23cc30b0d66dde46835890a3379c543d08a4013d,146
2026-02,0x4f4347f36585a3b28bb674119ad104d8c7c927d8,23
2026-02,0x790701e2a3a30c8d2ebc6cfd2c73eca91f83e316,11
2026-02,0x0197d7fafca118bc91f6854b9a2ceea94e676585,8
2026-02,0x59a312baa855906c02caed3a49528b8807bfbe90,6
2026-02,0x2022a5600f854cc3218e636239f4dfce9e5357b5,229
2026-03,0x000000000060f6e853447881951574cdd0663530,83
2026-03,0x133243d447026345c2b368d7ffe435dbe3c566eb,1071
2026-03,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,1429
2026-03,0x23cc30b0d66dde46835890a3379c543d08a4013d,57
2026-03,0xe9f04aaa15fb617d9cd2f1b12baa2097349198f5,5
2026-03,0x21f71c3c52d776e1d03a16d122342b892b69d160,8
2026-03,0x179ad206b68b983b9788cbf3ea40f5995d089bca,43
2026-03,0x790701e2a3a30c8d2ebc6cfd2c73eca91f83e316,6
2026-03,0xc0ab17ecf3cfb349b203aba107abd8ae65153f39,26
2026-03,0x59a312baa855906c02caed3a49528b8807bfbe90,18
2026-03,0x696aff2bd2a95ba18fc1c84021a1a2773e97573c,7
2026-03,0x4f4347f36585a3b28bb674119ad104d8c7c927d8,5
2026-03,0x2022a5600f854cc3218e636239f4dfce9e5357b5,16
2026-04,0x133243d447026345c2b368d7ffe435dbe3c566eb,20133
2026-04,0x000000000060f6e853447881951574cdd0663530,10
2026-04,0xbcbb05ddfe0fce5bed28a99c827f8e7c868863ce,17
2026-04,0x53aa31c8b97306783e27db3f03a29fa570d61287,5
2026-04,0x23cc30b0d66dde46835890a3379c543d08a4013d,54
2026-04,0x4326ae482a57bf9a264e34a4d196a570ed21a428,8
2026-04,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,43
2026-04,0xc0ab17ecf3cfb349b203aba107abd8ae65153f39,21
2026-04,0x0197d7fafca118bc91f6854b9a2ceea94e676585,11
2026-04,0x179ad206b68b983b9788cbf3ea40f5995d089bca,10
2026-04,0xcae1e91150f4ba9482ceaf8deeaab3daf6838e0d,5
2026-04,0x4f4347f36585a3b28bb674119ad104d8c7c927d8,10
2026-05,0xbcbb05ddfe0fce5bed28a99c827f8e7c868863ce,601
2026-05,0x133243d447026345c2b368d7ffe435dbe3c566eb,23538
2026-05,0x0ad9bd6ed6be4bb742362e0fae721c3435f1c579,1296
2026-05,0x62a63f10d6a6689b90cca9acf2b3ab82f1576b86,555
2026-05,0xfb1b9d621011b47c18cc425bfbc677c28a337bc0,6
2026-05,0x315782c3dc099bcb49c442c9c2620b56686c79e2,41
2026-05,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,9
2026-05,0x4326ae482a57bf9a264e34a4d196a570ed21a428,8
2026-05,0x23cc30b0d66dde46835890a3379c543d08a4013d,8
2026-05,0x2022a5600f854cc3218e636239f4dfce9e5357b5,112
2026-06,0x133243d447026345c2b368d7ffe435dbe3c566eb,24954
2026-06,0xbcbb05ddfe0fce5bed28a99c827f8e7c868863ce,264
2026-06,0x62a63f10d6a6689b90cca9acf2b3ab82f1576b86,4263
2026-06,0xfb1b9d621011b47c18cc425bfbc677c28a337bc0,4128
2026-06,0x0ad9bd6ed6be4bb742362e0fae721c3435f1c579,245
2026-06,0x315782c3dc099bcb49c442c9c2620b56686c79e2,38
2026-06,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,19
2026-06,0x23cc30b0d66dde46835890a3379c543d08a4013d,30
2026-06,0x4f4347f36585a3b28bb674119ad104d8c7c927d8,79
2026-06,0x2022a5600f854cc3218e636239f4dfce9e5357b5,96
