mth,who,n_zero,top1_recipient,pct_top1_rcp,n_depositors,pct_dep_eq_rcp,n_exact_10usdc,usdc_median
2025-07-01,E 其余,16,0x770eb837cf3106a13b17f4197b6a404ad958b711,81.3,3,12.5,0,5
2025-08-01,E 其余,8,0xfaa71492397cb83a407f0b056843297ae5e8ae3c,75.0,2,0.0,0,0.56
2025-09-01,B 0x394311a6,7,0x0f7ae28de1c8532170ad4ee566b5801485c13a0e,71.4,4,28.6,0,10.26
2025-09-01,E 其余,40,0xbfe02fc2508fd2c1dd60253efc9624977e425d8e,22.5,21,75.0,0,4.12
2025-09-01,F 慢填,35,0x7c255279c098fdf6c3116d2becd9978002c09f4b,85.7,6,11.4,0,498.36
2025-10-01,B 0x394311a6,4,0x000000000060f6e853447881951574cdd0663530,50.0,2,0.0,0,22551.17
2025-10-01,E 其余,72,0x000000000060f6e853447881951574cdd0663530,63.9,20,22.2,1,3
2025-10-01,F 慢填,16,0x7c255279c098fdf6c3116d2becd9978002c09f4b,87.5,1,0.0,0,452.58
2025-11-01,B 0x394311a6,35,0x000000000060f6e853447881951574cdd0663530,85.7,24,0.0,0,7978.58
2025-11-01,E 其余,285,0x000000000060f6e853447881951574cdd0663530,80.4,79,0.0,1,4644.63
2025-11-01,F 慢填,55,0xb58bb9643884abbbad64fa7ebc874c5481e5c032,50.9,1,0.0,0,9996
2025-12-01,B 0x394311a6,121,0x000000000060f6e853447881951574cdd0663530,96.7,60,0.0,0,7707.76
2025-12-01,E 其余,574,0x000000000060f6e853447881951574cdd0663530,78.7,94,0.3,0,5701.91
2025-12-01,F 慢填,59,0x7c255279c098fdf6c3116d2becd9978002c09f4b,84.7,1,0.0,0,9779.99
2026-01-01,B 0x394311a6,113,0x000000000060f6e853447881951574cdd0663530,100.0,60,0.0,0,2620.95
2026-01-01,E 其余,332,0x000000000060f6e853447881951574cdd0663530,94.3,81,0.0,0,9883.82
2026-01-01,F 慢填,49,0x2022a5600f854cc3218e636239f4dfce9e5357b5,100.0,1,0.0,0,
2026-02-01,A 0x07ae8551,1275,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,75.6,36,85.0,0,0.1
2026-02-01,B 0x394311a6,129,0x000000000060f6e853447881951574cdd0663530,66.7,60,16.3,0,104.88
2026-02-01,E 其余,539,0x000000000060f6e853447881951574cdd0663530,62.9,96,14.5,0,2962.15
2026-02-01,F 慢填,154,0x2022a5600f854cc3218e636239f4dfce9e5357b5,94.8,4,5.2,1,1
2026-03-01,A 0x07ae8551,2369,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,50.4,784,52.3,32,0.1
2026-03-01,B 0x394311a6,77,0x000000000060f6e853447881951574cdd0663530,23.4,36,10.4,3,1
2026-03-01,E 其余,350,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,65.7,49,68.0,0,0.1
2026-03-01,F 慢填,16,0x2022a5600f854cc3218e636239f4dfce9e5357b5,100.0,1,0.0,0,
2026-04-01,A 0x07ae8551,20229,0x133243d447026345c2b368d7ffe435dbe3c566eb,99.5,9788,0.2,319,10.64
2026-04-01,B 0x394311a6,65,0xc0ab17ecf3cfb349b203aba107abd8ae65153f39,15.4,38,7.7,0,9.83
2026-04-01,E 其余,141,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,10.6,83,32.6,1,1.26
2026-05-01,A 0x07ae8551,23549,0x133243d447026345c2b368d7ffe435dbe3c566eb,100.0,10609,0.0,472,10.84
2026-05-01,B 0x394311a6,184,0xbcbb05ddfe0fce5bed28a99c827f8e7c868863ce,99.5,84,0.0,1,3098
2026-05-01,C 0xfd03abca,360,0x62a63f10d6a6689b90cca9acf2b3ab82f1576b86,95.6,8,95.6,349,10
2026-05-01,E 其余,1982,0x0ad9bd6ed6be4bb742362e0fae721c3435f1c579,65.4,109,79.2,1474,10
2026-05-01,F 慢填,112,0x2022a5600f854cc3218e636239f4dfce9e5357b5,100.0,1,0.0,0,
2026-06-01,A 0x07ae8551,25076,0x133243d447026345c2b368d7ffe435dbe3c566eb,99.5,10281,0.0,447,10.6
2026-06-01,B 0x394311a6,1858,0xfb1b9d621011b47c18cc425bfbc677c28a337bc0,49.9,20,48.9,1835,10
2026-06-01,C 0xfd03abca,6653,0x62a63f10d6a6689b90cca9acf2b3ab82f1576b86,49.6,104,49.6,6430,10
2026-06-01,E 其余,442,0x0ad9bd6ed6be4bb742362e0fae721c3435f1c579,55.4,31,79.9,356,10
2026-06-01,F 慢填,98,0x2022a5600f854cc3218e636239f4dfce9e5357b5,98.0,2,2.0,0,
